gene	HCA.human_normal.TissueStability:normal:Esophagus	HCA.human_normal.TissueStability:normal:Lung	HCA.human_disease.PulmonaryFibrosisGSE135893:disease:Lung	16.human_peripheralBlood:young-healthyOld:normal:Peripheral Blood	16.human_peripheralBlood:young-frail:disease:Peripheral Blood	17.human_TabulaSapiens:normal:Blood	17.human_TabulaSapiens:normal:Bone Marrow	17.human_TabulaSapiens:normal:Muscle	17.human_TabulaSapiens:normal:Tongue	19.human_DiseaseGeneFusion:normal:Esophagus Muscularis
A2M	NA	NA	12.2126461486604	NA	NA	NA	NA	2.66514032738057	NA	-5.08026849477951
A2ML1	4.52676230992907	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2ML1-AS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.45400532774544
A4GALT	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.511086394833913
AAAS	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.655580076432131
AAGAB	NA	NA	NA	NA	NA	NA	NA	-0.616366176217353	NA	-1.74882234125398
AAK1	NA	NA	NA	NA	NA	NA	-0.964609599932644	-2.44639848806768	NA	2.05414650322997
AAMDC	NA	NA	NA	NA	NA	NA	NA	2.16669204811956	NA	1.43517945611912
AAMP	NA	NA	NA	NA	NA	NA	NA	3.0386486918552	NA	0.533799325839497
AAR2	NA	NA	NA	NA	NA	NA	NA	-1.95999465000054	NA	NA
AARS	NA	NA	NA	NA	NA	NA	NA	1.10184526804422	NA	-0.426303568048234
AASDH	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.867567560571029
AASDHPPT	NA	NA	NA	NA	NA	NA	NA	-1.03721228683377	NA	NA
AASS	NA	NA	NA	NA	NA	NA	NA	-23.5649769733579	NA	-2.66797561647645
AATF	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.86979291856622
ABCA1	NA	NA	NA	NA	NA	NA	NA	-9.20977037702998	NA	-29.2822722692056
ABCA10	NA	NA	NA	NA	NA	NA	NA	-4.07419764044571	NA	NA
ABCA3	NA	NA	46.2087999512447	NA	NA	NA	NA	NA	NA	0.351597584794394
ABCA5	NA	NA	NA	NA	NA	NA	NA	-2.81900044873456	NA	-0.49181666035449
ABCA6	NA	NA	NA	NA	NA	NA	NA	-27.1833775691594	NA	3.66281935039412
ABCA8	NA	NA	NA	NA	NA	NA	NA	-31.0175794736819	NA	NA
ABCA9	NA	NA	NA	NA	NA	NA	NA	-12.1838353422516	NA	NA
ABCB10	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.581787742706565
ABCB7	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.942961506913316
ABCC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.369586101196682
ABCC4	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.740150155182288
ABCC5	NA	NA	NA	NA	NA	NA	NA	-3.71535223105435	NA	0.411120305745894
ABCC9	NA	NA	NA	NA	NA	NA	NA	-0.693107899815986	NA	-12.1199618802557
ABCD3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.638866036436787
ABCD4	NA	NA	NA	NA	NA	NA	NA	0.666365368750731	NA	NA
ABCE1	NA	NA	NA	NA	NA	NA	NA	0.347215326764523	NA	-0.726695620835325
ABCF1	NA	NA	NA	NA	NA	NA	NA	-0.752933390036911	NA	0.579553693773826
ABCF3	NA	NA	NA	NA	NA	NA	NA	-0.812577436233027	NA	NA
ABCG1	NA	NA	5.93547563118986	NA	NA	NA	NA	NA	NA	NA
ABHD12	NA	NA	NA	NA	NA	NA	NA	2.38358521355591	NA	0.653895478767949
ABHD14A	NA	NA	NA	NA	NA	NA	NA	2.3909537805006	NA	NA
ABHD14B	NA	NA	NA	NA	NA	NA	NA	0.891306209464223	NA	NA
ABHD15-AS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.473138799314574
ABHD18	NA	NA	NA	NA	NA	NA	NA	-0.861912172904181	NA	0.774601975712743
ABHD2	NA	NA	NA	NA	NA	NA	NA	0.587575142342373	NA	-8.66540720327567
ABHD3	NA	NA	NA	NA	NA	NA	NA	-0.701366136485601	NA	-0.747012305476222
ABHD5	NA	NA	NA	NA	NA	NA	NA	-4.07538137237544	NA	-0.540770011528085
ABHD8	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.890362592379047
ABI1	NA	NA	NA	NA	NA	NA	NA	-17.2282043224018	NA	-0.866411187779762
ABI2	NA	NA	NA	NA	NA	NA	NA	-2.87716149367414	NA	-0.449199466874863
ABI3BP	NA	NA	NA	NA	NA	NA	NA	4.72037995503317	NA	-7.64816534362437
ABL1	NA	NA	NA	NA	NA	NA	NA	-3.70707139565222	NA	-6.49988746809052
ABL2	NA	NA	NA	NA	NA	NA	NA	4.79280379512875	NA	-2.94337530542323
ABLIM1	NA	NA	NA	0.682639885421521	NA	NA	NA	-2.08475696406398	NA	0.698458925718008
ABLIM3	NA	NA	NA	NA	NA	NA	NA	-2.04115639191855	NA	-0.50708529803219
ABR	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.335180755492137
ABRACL	NA	NA	2.89832555455449	NA	NA	NA	5.29352502654385	2.31875863439038	NA	NA
ABT1	NA	NA	NA	NA	NA	NA	NA	-5.50969630365548	NA	NA
ABTB1	NA	NA	NA	NA	NA	NA	NA	-0.361653507838884	NA	NA
ABTB2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.490687267485249
AC002066.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5482216871255
AC002075.2	NA	NA	NA	NA	NA	NA	NA	10.7200035716221	NA	NA
AC002546.1	NA	NA	NA	NA	NA	NA	NA	2.11867277663561	NA	NA
AC003090.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.65587788914034
AC004057.1	NA	NA	NA	NA	NA	NA	NA	29.8160073956308	NA	NA
AC004448.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.29636862046993
AC004453.1	NA	0.919818480300979	NA	NA	NA	NA	7.89397696168334	12.5916586735369	NA	NA
AC005261.1	NA	NA	NA	NA	NA	NA	NA	-5.39875912700736	NA	NA
AC005332.6	NA	NA	NA	NA	NA	NA	NA	-3.31893334955885	NA	NA
AC005358.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.42029467588681
AC005592.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.467505128694894
AC005884.2	NA	NA	NA	NA	NA	NA	NA	9.06484853971594	NA	NA
AC005912.1	NA	14.8542678290351	NA	NA	NA	NA	9.70686285870343	21.4138653060571	NA	NA
AC006001.3	NA	NA	NA	NA	NA	NA	NA	-2.26656047012544	NA	NA
AC006453.2	NA	NA	NA	NA	NA	NA	NA	1.0244466806776	NA	NA
AC007038.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.664515848275915
AC007098.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.40481088984696
AC007246.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.21507110999772
AC007318.1	NA	NA	NA	NA	NA	NA	NA	-2.95899569619788	NA	NA
AC007319.1	NA	NA	NA	NA	NA	NA	NA	7.04829683326692	NA	1.82035801634782
AC007392.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.25639519014247
AC007682.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.821548331795038
AC007950.1	NA	NA	NA	NA	NA	NA	NA	-1.82884758110354	NA	NA
AC007969.1	NA	0.327949374915002	NA	NA	NA	NA	15.4186154482506	22.0667904781148	NA	NA
AC008038.1	NA	-1.63712406300913	NA	NA	NA	NA	6.70197602068315	12.5311177706902	NA	NA
AC008755.1	NA	NA	NA	NA	NA	NA	NA	-0.639458113686673	NA	NA
AC009022.1	NA	NA	NA	NA	NA	NA	NA	-0.313938720609833	NA	NA
AC009226.1	NA	NA	NA	NA	NA	NA	NA	2.2660159342508	NA	NA
AC009264.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57288896110106
AC009501.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.603878226935772
AC010618.1	NA	NA	NA	NA	NA	NA	NA	1.12571898134442	NA	NA
AC011481.1	NA	NA	NA	NA	NA	NA	NA	-1.28169848634443	NA	NA
AC011529.1	NA	NA	NA	NA	NA	NA	NA	0.47712850048229	NA	NA
