gene	HCA.human_normal.TissueStability:normal:Esophagus	HCA.human_normal.TissueStability:normal:Lung	HCA.human_disease.PulmonaryFibrosisGSE135893:disease:Lung	16.human_peripheralBlood:young-healthyOld:normal:Peripheral Blood	16.human_peripheralBlood:young-frail:disease:Peripheral Blood	17.human_TabulaSapiens:normal:Blood	17.human_TabulaSapiens:normal:Bone Marrow	17.human_TabulaSapiens:normal:Muscle	17.human_TabulaSapiens:normal:Tongue	19.human_DiseaseGeneFusion:normal:Esophagus Muscularis
A2ML1	0.163986621561128	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC016739.1	-0.141134689953172	-0.119609399438131	NA	NA	NA	NA	0.715029278229081	0.734558586702946	NA	NA
AC024293.1	0.308802996756435	0.231366181012938	NA	NA	NA	NA	NA	1.086972383765	NA	NA
AC073621.1	-0.031028563418047	-0.0781901740914663	NA	NA	NA	NA	NA	NA	NA	NA
AC073861.1	-0.0735982117228218	0.00210061109836591	NA	NA	NA	NA	0.482342024410475	0.490013930478727	NA	NA
ACADVL	-0.0166640228281103	NA	NA	NA	NA	NA	0.463716724131062	0.256169495354269	NA	-0.0326373697140267
ACTB	-0.118519583351666	-0.0663698458277349	0.0581777986920922	0.0678891981165476	0.25911571772705	0.0350382084461173	0.00325942952199624	-0.0198751959901764	-0.227134524027705	0.28739686759223
ACTG1	-0.101102772368537	-0.0229989103825452	0.0689724407784486	0.0563839412367411	0.0347357895540438	-0.0927570309295202	0.0720401396436343	0.181271136332487	-0.066695807098589	-0.137420817861676
ACTR3	0.131347893103675	NA	0.0894205283775329	NA	NA	-0.105885085407638	-0.314417910156211	-0.378130730015148	NA	-0.00815095267086313
ADI1	0.365053572677039	NA	NA	NA	NA	NA	NA	-0.49913797496449	NA	0.177198716962691
ADM	-0.0280923053294662	NA	NA	NA	-0.17428721915211	NA	NA	0.221543487886426	NA	NA
AHNAK	0.0300552549334744	NA	0.111858696761132	0.145719877969458	-0.0954558738887502	-0.0798025244404432	-0.0568667162265671	0.355941978152246	NA	0.0939088125507254
AKR1B10	0.208097630731621	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALDH3A1	-0.631075399977539	NA	0.0449130442435546	NA	NA	NA	NA	NA	NA	NA
ALDOA	-0.0264395826987946	0.0724268126618285	0.041974174584761	0.137011289587248	0.0739469543565067	NA	1.01584250165372	0.0354013770419705	NA	0.11954458782509
ANAPC11	0.162928434070247	NA	0.192690791761527	NA	NA	NA	0.285031880612478	0.0444705028456454	NA	0.0221065188682672
ANP32B	0.0956914131055426	NA	-0.0653902369892363	-0.0751286171293117	-0.174123456476307	NA	0.136579791260358	0.337344220111552	NA	0.0177826151786078
ANXA1	-0.12714209590222	0.0976304704333641	0.110831224209282	-0.00946199665063403	-0.0595403973149074	0.0369991712719124	0.166071266910828	-0.0930693867542836	-0.154918376262293	0.0701937372686242
ANXA11	0.092833543196749	NA	0.0853230004887429	NA	NA	NA	NA	-0.358459626782935	NA	0.0159854598109727
ANXA2	0.0369024216665321	-0.210384841483172	0.0649351007363411	0.237424963623339	0.137253685656927	0.101118092767415	0.222020218250776	0.0496467003706705	-0.506900637264562	0.0205547989404236
AP001324.1	0.022446076209485	0.280309766986135	NA	NA	NA	NA	0.969466614527885	0.854397629211888	NA	NA
AP2M1	0.198005895219518	NA	NA	NA	NA	NA	0.358743796524454	0.409308670862298	NA	NA
AP2S1	0.0737644449623864	NA	0.173371894254349	NA	NA	0.0472872836398643	0.327499630185986	0.612767467992196	NA	-0.0177441661302658
APRT	0.0824143863450205	NA	0.187347787655071	-0.0424616300447126	-0.0927459582691975	NA	0.427335028726967	0.58142853067259	NA	0.0480637977059151
AQP3	0.00288545505398588	NA	0.368308239770943	-0.0488847619042824	-0.214848206624542	NA	NA	NA	NA	NA
AREG	-0.254994574431788	NA	0.143757762321661	0.261653032345752	0.162846000048488	NA	NA	0.0547107777616907	NA	NA
ARF1	-0.0192328348171673	NA	0.0629449314357824	-0.0687725349112566	-0.175121649066087	0.257572097594717	0.270983291140416	0.302541764203347	NA	-0.115203546780944
ARF4	0.161003642376736	NA	0.14498431859857	NA	NA	NA	0.240462805195838	0.0621144906209595	NA	0.0147710659237976
ARF6	-0.145381827698344	NA	NA	0.129119375221711	0.0802496764786791	NA	NA	-0.474598870106345	NA	NA
ARL4D	0.305151140121694	NA	NA	NA	NA	NA	NA	0.373442618959889	NA	NA
