study,group,tissue,cellType,gene1,gene2,is_marker
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,ARF1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,ARPC5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CALM2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CDC42EP3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CFLAR,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CSDE1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CTSS,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CXCL2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CYTIP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,DUSP2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,FCER1G,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,G0S2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,GBP2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,H3F3A,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,HNRNPDL,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,IFI6,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,IL1A,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,ISG15,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,JUN,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,OST4,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PDE4DIP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PELI1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PTGS2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PTPRC,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PTX3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPL11,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPL32,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPS27,1,no
